Date;Close;Volume
Nov 01, 2023;37476.96;381767990472
Oct 01, 2023;34667.78;476425634860
Sep 01, 2023;26967.92;337637313742
Aug 01, 2023;25931.47;437724169499
Jul 01, 2023;29230.11;382224489090
Jun 01, 2023;30477.25;481734214225
May 01, 2023;27219.66;443473015479
Apr 01, 2023;29268.81;511540319004
Mar 01, 2023;28478.48;883299703608
Feb 01, 2023;23147.35;723968574897
Jan 01, 2023;23139.28;690994018045
Dec 01, 2022;16547.50;541356716034
Nov 01, 2022;17168.57;1224531549126
Oct 01, 2022;20495.77;957903424925
Sep 01, 2022;19431.79;1123272250385
Aug 01, 2022;20049.76;894192654543
Jul 01, 2022;23336.90;927582363389
Jun 01, 2022;19784.73;923939211678
May 01, 2022;31792.31;1105689315990
Apr 01, 2022;37714.88;830115888649
Mar 01, 2022;45538.68;830943838435
Feb 01, 2022;43193.23;671335993325
Jan 01, 2022;38483.13;923979037681
Dec 01, 2021;46306.45;957047184722
Nov 01, 2021;57005.43;1053270271383
Oct 01, 2021;61318.96;1153077903534
Sep 01, 2021;43790.89;1102139678824
Aug 01, 2021;47166.69;1014674184428
Jul 01, 2021;41626.20;819103381204
Jun 01, 2021;35040.84;1189647451707
May 01, 2021;37332.86;1976593438572
Apr 01, 2021;57750.18;1844481772417
Mar 01, 2021;58918.83;1681184264687
Feb 01, 2021;45137.77;2267152936675
Jan 01, 2021;33114.36;2153473433571
Dec 01, 2020;29001.72;1212259707946
Nov 01, 2020;19625.84;1093144913227
Oct 01, 2020;13781.00;1050874546086
Sep 01, 2020;10784.49;1075949438431
Aug 01, 2020;11680.82;708377092130
Jul 01, 2020;11323.47;545813339109
Jun 01, 2020;9137.99;650913318680
May 01, 2020;9461.06;1286368141507
Apr 01, 2020;8658.55;1156127164831
Mar 01, 2020;6438.64;1290442059648
Feb 01, 2020;8599.51;1163376492768
Jan 01, 2020;9350.53;852872174496
Dec 01, 2019;7193.60;633790373416
Nov 01, 2019;7569.63;676919523650
Oct 01, 2019;9199.58;595205134748
Sep 01, 2019;8293.87;480544963230
Aug 01, 2019;9630.66;533984971734
Jul 01, 2019;10085.63;676416326705
Jun 01, 2019;10817.16;675855385074
May 01, 2019;8574.50;724157870864
Apr 01, 2019;5350.73;445364556718
Mar 01, 2019;4105.40;297952790260
Feb 01, 2019;3854.79;199100675597
Jan 01, 2019;3457.79;167335706864
Dec 01, 2018;3742.70;168826809069
Nov 01, 2018;4017.27;158359524484
Oct 01, 2018;6317.61;118436880000
Sep 01, 2018;6625.56;129745370000
Aug 01, 2018;7037.58;132292770000
Jul 01, 2018;7780.44;141441939792
Jun 01, 2018;6404.00;130214179584
May 01, 2018;7494.17;197611709696
Apr 01, 2018;9240.55;196550010624
Mar 01, 2018;6973.53;193751709184
Feb 01, 2018;10397.90;229717780480
Jan 01, 2018;10221.10;416247858176
Dec 01, 2017;14156.40;410336495104
Nov 01, 2017;10233.60;140735010304
Oct 01, 2017;6468.40;58009357952
Sep 01, 2017;4338.71;55700949056
Aug 01, 2017;4703.39;63548016640
Jul 01, 2017;2875.34;32619956992
Jun 01, 2017;2480.84;44478140928
May 01, 2017;2286.41;34261856864
Apr 01, 2017;1347.89;9757448112
Mar 01, 2017;1071.79;10872455960
Feb 01, 2017;1179.97;4282761200
Jan 01, 2017;970.40;5143971692
Dec 01, 2016;963.74;3556763800
Nov 01, 2016;745.69;2635773092
Oct 01, 2016;700.97;2115443796
Sep 01, 2016;609.73;2004401400
Aug 01, 2016;575.47;2686220180
Jul 01, 2016;624.68;3454186204
Jun 01, 2016;673.34;4749702740
May 01, 2016;531.39;2234432796
Apr 01, 2016;448.32;1811475204
Mar 01, 2016;416.73;2332852776
Feb 01, 2016;437.70;1876238692
Jan 01, 2016;368.77;1990880304
Dec 01, 2015;430.57;2096250000
Nov 01, 2015;377.32;2177623396
Oct 01, 2015;314.17;953279500
Sep 01, 2015;236.06;603623900
Aug 01, 2015;230.06;905192300
